Id,salary
9000,712370
9001,549604
9002,326885
9003,999000
9004,152205
9005,424511
9006,103851
9007,153322
9008,360582
9009,435162
9010,153134
9011,912670
9012,889572
9013,909510
9014,925121
9015,487815
9016,174619
9017,402327
9018,378961
9019,493973
9020,327376
9021,709272
9022,394523
9023,698514
9024,885926
9025,810952
9026,944077
9027,941020
9028,184091
9029,828129
9030,898207
9031,527916
9032,121126
9033,595160
9034,347579
9035,282198
9036,483955
9037,336522
9038,405368
9039,285611
9040,981183
9041,960431
9042,469188
9043,151498
9044,419863
9045,393464
9046,503824
9047,999000
9048,901485
9049,829771
9050,573685
9051,122337
9052,152910
9053,197712
9054,522175
9055,274826
9056,390134
9057,337555
9058,343539
9059,295934
9060,499798
9061,990577
9062,250283
9063,326710
9064,934661
9065,675953
9066,128382
9067,369222
9068,407444
9069,511941
9070,132008
9071,186805
9072,470850
9073,238389
9074,288964
9075,528489
9076,301461
9077,151979
9078,264520
9079,367397
9080,933840
9081,877575
9082,369413
9083,676012
9084,999000
9085,748367
9086,322749
9087,106315
9088,653847
9089,374538
9090,801187
9091,651300
9092,199911
9093,520286
9094,693953
9095,529567
9096,491034
9097,720601
9098,712691
9099,467234
9100,850123
9101,434417
9102,328136
9103,506843
9104,166689
9105,259656
9106,572302
9107,378524
9108,965083
9109,599498
9110,967974
9111,772832
9112,412729
9113,134615
9114,880186
9115,914149
9116,188739
9117,415733
9118,135451
9119,956553
9120,415641
9121,273623
9122,764441
9123,547199
9124,477974
9125,823156
9126,999000
9127,277335
9128,175065
9129,365474
9130,538317
9131,255843
9132,163933
9133,999000
9134,889956
9135,502818
9136,826665
9137,906477
9138,639320
9139,666091
9140,247422
9141,516190
9142,550124
9143,999000
9144,180965
9145,357257
9146,419291
9147,673004
9148,365035
9149,385883
9150,276553
9151,575855
9152,846351
9153,791696
9154,350247
9155,681827
9156,508277
9157,282648
9158,999000
9159,170093
9160,977972
9161,472666
9162,960779
9163,674696
9164,958881
9165,955726
9166,418231
9167,999000
9168,290949
9169,520488
9170,749865
9171,896940
9172,140616
9173,778378
9174,945701
9175,434221
9176,156637
9177,297360
9178,140872
9179,258825
9180,185542
9181,396909
9182,757865
9183,798228
9184,734164
9185,313475
9186,150896
9187,890152
9188,161395
9189,179221
9190,121434
9191,999000
9192,381799
9193,822225
9194,638192
9195,184489
9196,548432
9197,636962
9198,423309
9199,724823
9200,335140
9201,735154
9202,347076
9203,506049
9204,187970
9205,384322
9206,441972
9207,450006
9208,956052
9209,729001
9210,411297
9211,983363
9212,429380
9213,251004
9214,162994
9215,853932
9216,850752
9217,423966
9218,160100
9219,314202
9220,266640
9221,784108
9222,545838
9223,177502
9224,314802
9225,314414
9226,999000
9227,132559
9228,436593
9229,723356
9230,168053
9231,888843
9232,909565
9233,627331
9234,437966
9235,148179
9236,776815
9237,328157
9238,544817
9239,102110
9240,164928
9241,867687
9242,608196
9243,166198
9244,999000
9245,777669
9246,137093
9247,999000
9248,575858
9249,148045
9250,999000
9251,147077
9252,174199
9253,991873
9254,999000
9255,146052
9256,885541
9257,155661
9258,455516
9259,291328
9260,736700
9261,376193
9262,133679
9263,323148
9264,833617
9265,999000
9266,862063
9267,795543
9268,397966
9269,382575
9270,672984
9271,459548
9272,384601
9273,333047
9274,983608
9275,316792
9276,964339
9277,380138
9278,970803
9279,345599
9280,125745
9281,167406
9282,542490
9283,960157
9284,207065
9285,488698
9286,481613
9287,738051
9288,525538
9289,612692
9290,332379
9291,624978
9292,863604
9293,837691
9294,413578
9295,239547
9296,126669
9297,127506
9298,352167
9299,959926
9300,139503
9301,161085
9302,145800
9303,343252
9304,999000
9305,196884
9306,964696
9307,362334
9308,328490
9309,517063
9310,310437
9311,504173
9312,999000
9313,424368
9314,890949
9315,752012
9316,980654
9317,333378
9318,348545
9319,307072
9320,837032
9321,463238
9322,429380
9323,935033
9324,391584
9325,376065
9326,915107
9327,391610
9328,388962
9329,189138
9330,903578
9331,153421
9332,824294
9333,935833
9334,907270
9335,314662
9336,166420
9337,999000
9338,897652
9339,347649
9340,390321
9341,401042
9342,521661
9343,168732
9344,432099
9345,393761
9346,413136
9347,131781
9348,653863
9349,509356
9350,999000
9351,272049
9352,475005
9353,836546
9354,289228
9355,548863
9356,374230
9357,591670
9358,161766
9359,531319
9360,353452
9361,994499
9362,349806
9363,999000
9364,355800
9365,971064
9366,298467
9367,982265
9368,169023
9369,259326
9370,742932
9371,168595
9372,441641
9373,772675
9374,155364
9375,887599
9376,603174
9377,541978
9378,694619
9379,195131
9380,959882
9381,810567
9382,880271
9383,999000
9384,443391
9385,999000
9386,786972
9387,291850
9388,881847
9389,334864
9390,422149
9391,170103
9392,526524
9393,846496
9394,649765
9395,722353
9396,842643
9397,966368
9398,172433
9399,302729
9400,546411
9401,624572
9402,592190
9403,594897
9404,419834
9405,999806
9406,161080
9407,368326
9408,276963
9409,463181
9410,365593
9411,521043
9412,460970
9413,490710
9414,187439
9415,444211
9416,198051
9417,772407
9418,195407
9419,535854
9420,739900
9421,164152
9422,632016
9423,165065
9424,358249
9425,388175
9426,828996
9427,866263
9428,187315
9429,373428
9430,138267
9431,861957
9432,595004
9433,808299
9434,777073
9435,994174
9436,542329
9437,550938
9438,410489
9439,887417
9440,319463
9441,923366
9442,124063
9443,712251
9444,993448
9445,252354
