Id,salary
9000,630000
9001,530000
9002,340000
9003,999999
9004,160000
9005,450000
9006,130000
9007,140000
9008,330000
9009,470000
9010,150000
9011,900000
9012,800000
9013,999999
9014,860000
9015,550000
9016,150000
9017,410000
9018,370000
9019,500000
9020,350000
9021,650000
9022,380000
9023,580000
9024,900000
9025,800000
9026,800000
9027,850000
9028,180000
9029,910000
9030,850000
9031,570000
9032,110000
9033,530000
9034,330000
9035,300000
9036,540000
9037,390000
9038,410000
9039,280000
9040,930000
9041,970000
9042,510000
9043,130000
9044,420000
9045,400000
9046,530000
9047,999999
9048,850000
9049,800000
9050,590000
9051,120000
9052,160000
9053,190000
9054,490000
9055,300000
9056,440000
9057,370000
9058,320000
9059,280000
9060,470000
9061,999999
9062,230000
9063,300000
9064,900000
9065,690000
9066,120000
9067,380000
9068,400000
9069,540000
9070,140000
9071,170000
9072,410000
9073,270000
9074,270000
9075,500000
9076,310000
9077,150000
9078,260000
9079,380000
9080,880000
9081,990000
9082,360000
9083,630000
9084,940000
9085,710000
9086,320000
9087,130000
9088,680000
9089,380000
9090,760000
9091,630000
9092,190000
9093,560000
9094,710000
9095,580000
9096,450000
9097,770000
9098,650000
9099,390000
9100,930000
9101,400000
9102,350000
9103,570000
9104,130000
9105,280000
9106,540000
9107,350000
9108,910000
9109,630000
9110,840000
9111,730000
9112,390000
9113,130000
9114,780000
9115,800000
9116,160000
9117,420000
9118,140000
9119,950000
9120,420000
9121,260000
9122,780000
9123,570000
9124,480000
9125,820000
9126,999999
9127,270000
9128,200000
9129,360000
9130,610000
9131,270000
9132,150000
9133,999999
9134,950000
9135,450000
9136,850000
9137,960000
9138,630000
9139,710000
9140,220000
9141,490000
9142,530000
9143,999999
9144,180000
9145,340000
9146,410000
9147,780000
9148,410000
9149,410000
9150,260000
9151,540000
9152,800000
9153,710000
9154,380000
9155,740000
9156,530000
9157,240000
9158,999999
9159,180000
9160,999999
9161,570000
9162,960000
9163,640000
9164,850000
9165,999999
9166,450000
9167,910000
9168,300000
9169,490000
9170,740000
9171,860000
9172,140000
9173,800000
9174,999999
9175,410000
9176,160000
9177,300000
9178,140000
9179,260000
9180,170000
9181,410000
9182,790000
9183,740000
9184,820000
9185,300000
9186,160000
9187,990000
9188,160000
9189,160000
9190,120000
9191,999999
9192,330000
9193,710000
9194,630000
9195,160000
9196,480000
9197,630000
9198,400000
9199,800000
9200,310000
9201,780000
9202,310000
9203,470000
9204,180000
9205,340000
9206,480000
9207,500000
9208,850000
9209,710000
9210,400000
9211,999999
9212,440000
9213,270000
9214,150000
9215,910000
9216,810000
9217,480000
9218,150000
9219,360000
9220,270000
9221,780000
9222,540000
9223,170000
9224,250000
9225,350000
9226,970000
9227,130000
9228,400000
9229,780000
9230,160000
9231,900000
9232,920000
9233,580000
9234,460000
9235,150000
9236,810000
9237,340000
9238,490000
9239,120000
9240,160000
9241,930000
9242,610000
9243,170000
9244,999999
9245,800000
9246,120000
9247,999999
9248,580000
9249,150000
9250,970000
9251,160000
9252,150000
9253,999999
9254,999999
9255,150000
9256,950000
9257,170000
9258,410000
9259,280000
9260,860000
9261,340000
9262,130000
9263,350000
9264,820000
9265,999999
9266,820000
9267,820000
9268,350000
9269,390000
9270,660000
9271,500000
9272,440000
9273,340000
9274,990000
9275,330000
9276,980000
9277,400000
9278,940000
9279,360000
9280,110000
9281,180000
9282,520000
9283,930000
9284,200000
9285,510000
9286,440000
9287,690000
9288,480000
9289,680000
9290,280000
9291,530000
9292,880000
9293,790000
9294,400000
9295,250000
9296,150000
9297,130000
9298,340000
9299,900000
9300,130000
9301,150000
9302,150000
9303,310000
9304,960000
9305,190000
9306,960000
9307,330000
9308,310000
9309,470000
9310,300000
9311,480000
9312,1000000
9313,490000
9314,790000
9315,690000
9316,999999
9317,310000
9318,370000
9319,320000
9320,800000
9321,420000
9322,440000
9323,890000
9324,410000
9325,350000
9326,850000
9327,440000
9328,340000
9329,170000
9330,999999
9331,160000
9332,730000
9333,840000
9334,790000
9335,330000
9336,150000
9337,960000
9338,800000
9339,310000
9340,410000
9341,370000
9342,520000
9343,160000
9344,450000
9345,410000
9346,450000
9347,140000
9348,640000
9349,530000
9350,1000000
9351,260000
9352,480000
9353,860000
9354,300000
9355,510000
9356,350000
9357,520000
9358,170000
9359,500000
9360,310000
9361,1000000
9362,360000
9363,999999
9364,370000
9365,990000
9366,270000
9367,990000
9368,160000
9369,260000
9370,790000
9371,160000
9372,420000
9373,810000
9374,140000
9375,940000
9376,570000
9377,510000
9378,640000
9379,210000
9380,999999
9381,840000
9382,930000
9383,999999
9384,400000
9385,999999
9386,780000
9387,270000
9388,960000
9389,330000
9390,400000
9391,170000
9392,520000
9393,800000
9394,600000
9395,770000
9396,770000
9397,999999
9398,140000
9399,280000
9400,420000
9401,700000
9402,630000
9403,590000
9404,440000
9405,990000
9406,180000
9407,370000
9408,260000
9409,520000
9410,320000
9411,470000
9412,470000
9413,510000
9414,180000
9415,430000
9416,200000
9417,800000
9418,190000
9419,470000
9420,740000
9421,170000
9422,660000
9423,140000
9424,330000
9425,360000
9426,760000
9427,840000
9428,180000
9429,400000
9430,130000
9431,810000
9432,620000
9433,780000
9434,770000
9435,999999
9436,500000
9437,470000
9438,410000
9439,780000
9440,350000
9441,900000
9442,120000
9443,700000
9444,1000000
9445,230000
9446,800000
9447,560000
9448,280000
9449,550000
9450,480000
9451,420000
9452,990000
9453,280000
9454,350000
9455,550000
9456,430000
9457,320000
9458,390000
9459,320000
9460,330000
9461,510000
9462,150000
9463,360000
9464,370000
9465,360000
9466,130000
9467,1000000
9468,480000
9469,970000
9470,930000
9471,510000
9472,110000
9473,640000
9474,650000
9475,300000
9476,340000
9477,370000
9478,370000
9479,130000
9480,1000000
9481,1000000
9482,760000
9483,760000
9484,310000
9485,710000
9486,710000
9487,790000
9488,980000
9489,790000
9490,220000
9491,540000
9492,560000
9493,990000
9494,150000
9495,580000
9496,150000
9497,610000
9498,620000
9499,360000
9500,570000
9501,290000
9502,940000
9503,300000
9504,420000
9505,560000
9506,430000
9507,310000
9508,160000
9509,350000
9510,430000
9511,210000
9512,790000
9513,270000
